chinese_imperial_government;Chinese Imperial;Impérialisme chinois;Chinesischer Imperialismus;;Imperial chino;;;;;;;;;x
chinese_imperial_government_desc;Chinese Imperialism, much like the ordinary Feudal government, revolves around vassals owing fealty to their liege. It is inspired by the efficient administration of the mainland [offmap_china.GetFullName], and promotes peaceful dialog over religious differences.;L'impérialisme chinois, tout comme le gouvernement féodal ordinaire, repose sur les vassaux jurant fidélité à leur seigneur lige. Il s'inspire de l'administration efficace de l'[offmap_china.GetFullName] et promeut un dialogue pacifique sur les différences religieuses.;Der chinesische Imperialismus ist ähnlich der Feudalregierung und dreht sich um Vasallen, die ihrem Lehnsherrn folgen. Er ist inspiriert von der effizienten Verwaltung des Kernlandes vom [offmap_china.GetFullName] und fördert einen friedlichen Dialog über religiöse Unterschiede.;;El imperialismo chino, muy similar al gobierno feudal normal, gira en torno a vasallos que juran lealtad un señor. Está inspirado por la administración eficiente del corazón de [offmap_china.GetFullName] y promueve el diálogo pacífico por encima de las diferencias religiosas.;;;;;;;;;x
chinese_imperial_government_FEATURES;§Y*§! Follows the special Temple Name convention of naming rulers\n§Y*§! Is limited to non-elective succession laws;§Y*§! Suit la convention spéciale des noms de temples pour nommer les dirigeants\n§Y*§! Uniquement les lois de succession non élective;§Y*§! Folgt der speziellen Namenskonvention durch Tempel für Herrscher\n§Y*§! Ist begrenzt auf Erbfolgegesetze ohne Wahl;;§Y*§! Sigue la convención especial de [Root.GetPublicOpinionOfWork]s de templo para dar nombre a los gobernantes\n§Y*§! Está limitado a leyes de sucesión no electivas;;;;;;;;;x
confucian_bureaucracy;Confucian Bureaucracy;Bureaucratie confucéenne;Konfuzianische Bürokratie;;Burocracia confuciana;;;;;;;;;x
confucian_bureaucracy_desc;Confucian Bureaucracies rely on a set of strict imperial examinations to select their rulers. Candidates are tested on their knowledge of the Confucian Classics - though merit, previous achievements and recommendations from prominent aristocrats also play a major role in the selection process. Rulers tend to be very skilled stewards.;Les bureaucraties confucéennes s'appuient sur des examens impériaux stricts pour sélectionner leurs dirigeants. Les candidats sont testés sur leurs connaissances des Classiques confucéens - en dehors du mérite, les accomplissements précédents et les recommandations d'aristocrates en vue jouent aussi un rôle majeur dans le processus de sélection. Les dirigeants ont tendance à être des intendants très compétents.;Konfuzianische Bürokraten verlassen sich auf eine Reihe von strengen kaiserlichen Prüfungen, um ihre Herrscher auszuwählen. Die Kandidaten werden auf ihre Kenntnisse der konfuzianischen Klassiker getestet, wobei Verdienst, frühere Errungenschaften und Empfehlungen von prominenten Aristokraten auch eine wichtige Rolle bei der Auswahl spielen. Herrscher neigen dazu, sehr erfahrene Kämmerer zu sein.;;Las burocracias confucianas recurren a una serie de rigurosos exámenes imperiales para elegir a sus gobernantes. Los candidatos prueban su conocimiento de los clásicos confucianos. Aunque méritos, logros previos y recomendaciones de aristócratas destacados también desempeñan un papel importante en el proceso de selección. Los gobernantes suelen ser administradores hábiles.;;;;;;;;;x
feudal_government;Feudal;Féodalité;Feudalsystem;;Feudal;;;;;;;;;x
feudal_government_desc;Feudal government revolves around the oath between liege and vassal, and Feudal lords can only directly own so many Holdings before they must start to rely on vassals - whose loyalty may vary... There are several Succession Laws to pick between - each with its own merits. The Centralization Law controls the maximum size of your Demesne and the number of direct vassals you can have.;Un gouvernement féodal repose sur un serment entre un seigneur et son vassal, et les seigneurs féodaux ne peuvent posséder directement qu'un nombre limité de propriétés avant de devoir s'appuyer sur des vassaux – dont la loyauté peut laisser à désirer... Vous pouvez choisir une loi de succession, chacune ayant ses propres mérites. La loi de centralisation contrôle la taille maximale de votre domaine et le nombre de vassaux directs que vous pouvez avoir.;Im Zentrum einer Feudalregierung steht der Eid zwischen Lehnsherr und Vasall, wobei ein feudaler Fürst nur eine begrenze Anzahl an Besitztümern direkt halten kann, bevor er sich auf seine Vasallen verlassen muss, dessen Loyalität variiert... Für die Erbfolge stehen verschiedene Gesetze zur Wahl, von denen jedes seine Vorzüge hat. In den Zentralisierungsgesetzen ist die maximale Größe der Domäne und die mögliche Anzahl der direkten Vasallen festgelegt.;;El gobierno feudal gira alrededor del juramento entre señor y vasallo, y los señores feudales solo pueden poseer directamente un cierto número de posesiones antes de empezar a confiar en sus vasallos - cuya lealtad puede variar… Hay varias leyes de sucesión para elegir, cada una con sus propios méritos. La ley de centralización controla el tamaño máximo de tu domino y el número de vasallos directos que puedes tener.;;;;;;;;;x
merchant_republic_government;Merchant Republic;République marchande;Handelsrepublik;;República mercante;;;;;;;;;x
merchant_republic_government_desc;Playing as a Patrician within a Merchant Republic is not entirely dissimilar from playing a Feudal lord - you are still after more Holdings, and you need an heir of your family. However, leadership of the Republic changes between the five major Patrician families through special elections. Patricians can also build a network of Trade Posts, even in the counties of other powers...;Jouer un patricien au sein d'une république marchande est semblable à l'expérience qu'offre un seigneur féodal : vous cherchez toujours à posséder davantage de propriétés et vous devez avoir un héritier pour votre famille. Cependant, la gouvernance de votre république tourne entre les cinq familles patriciennes majeures par le biais d'élections spéciales. Les patriciens peuvent ainsi construire un réseau de comptoirs, même dans les comtés qui dépendent d'autres régimes...;Als Patrizier einer Handelsrepublik zu spielen, ähnelt dem Spiel als Feudalherrscher. Nach wie vor ist der Erwerb neuer Liegenschaften Euer Ziel und auch für einen Erben müsst Ihr sorgen. Allerdings gibt es innerhalb einer Republik spezielle Wahlen, durch die festgelegt wird, welche der fünf großen Patrizierfamilien die politische Führung der Republik übernimmt. Daneben können Patrizier ein Netzwerk von Handelsposten aufbauen, sogar auf dem Gebiet anderer Mächte ...;;Encarnar a un patricio de una república mercante no es completamente diferente a encarnar a un señor feudal: sigues tratando de hacerte con más propiedades y necesitas un heredero en tu familia. No obstante, el liderazgo de la República cambia entre las cinco familias de patricios principales a través de unas elecciones especiales. Los patricios también pueden establecer una red de puestos comerciales, incluso en países de otras potencias...;;;;;;;;;x
clan_government;Clan;Clan;Clan;;Clan;;;;;;;;;x
clan_government_desc;The [This.GetPatriarchalMatriarchal] Clan is united by kinship — either by blood or a shared relation with a symbolic ancestor. A clan leader relies heavily on the support of the clan. United, they are a strength to be reckoned with, but a discontent clan withers from within.;Le clan patriarcal [This.GetPatriarchalMatriarchal] est uni par la parenté - soit par le sang, soit par une relation en commun avec un ancêtre symbolique. Un chef de clan compte beaucoup sur le soutien du clan. Uni, c'est une force avec laquelle il faut compter, mais un clan mécontent disparaît de l'intérieur.;Das [This.GetPatriarchalMatriarchal]e Patriarchalischer Clan wird durch Verwandtschaft geeint: entweder im Blut oder durch gemeinsame Beziehungen zu symbolischen Ahnen. Ein Clansführer ist stark von der Unterstützung seines Clans abhängig. Geeint ist man eine ernstzunehmende Macht, doch ein unzufriedener Clan zerfällt von innen heraus.;;El clan patriarcal [This.GetPatriarchalMatriarchal] está unido por parentesco, ya sea de sangre o por compartir relación con un antepasado simbólico. El líder depende en gran medida del apoyo de su clan. Si sus miembros están unidos, el clan será fuerte, pero si están descontentos, se pudrirá por dentro.;;;;;;;;;x
iqta_government;Iqta;Iqtâ;Iqta;;Iqta;;;;;;;;;x
iqta_government_desc;The Iqta system is similar to the Feudal system. However, the Iqta' holders generally did not technically own the lands, and they were not subject to inheritance to the next generation.;Le système de l'iqtâ est similaire au système féodal. Cependant, les détenteurs d'Iqta' ne possédaient généralement pas techniquement les terres, et ils n'étaient pas soumis à l'héritage à la génération suivante.;Das Iqtasystem ähnelt dem Feudalsystem. Allerdings die Besitzer der Iqta besaßen die Ländereien im Allgemeinen nicht, und sie wurden nicht an die nächste Generation vererbt.;;El sistema Iqta es similar al sistema feudal. Sin embargo, los poseedores de Iqta 'generalmente no eran técnicamente propietarios de las tierras y no estaban sujetos a herencia a la siguiente generación.
tibetan_feudal_government;Monastic Feudal;Féodalité monastique;Feudaler Mönchsorden;;Feudal monástico;;;;;;;;;x
tibetan_feudal_government_desc;The Monastic Feudal government, much like the ordinary Feudal government, revolves around the oath between liege and vassal, and Monastic Feudal lords can only directly own so many Holdings before they must start to rely on vassals - whose loyalty may vary... The Monastic Feudal government is unique to [tibetan_group.GetGroupName] of either the [buddhist.GetName] or [bon.GetName] faiths, and allows holding Temples in addition to Castles. Monastic Feudal rulers can also construct Gompa Monastery buildings in Castle holdings.;Le gouvernement féodal monastique, tout comme le gouvernement féodal ordinaire, repose sur un serment entre le seigneur lige et le vassal, et les seigneurs féodaux monastiques ne peuvent posséder directement que peu de propriétés avant de devoir compter sur les vassaux – dont la fidélité peut varier... Le gouvernement féodal monastique est spécifique aux [tibetan_group.GetGroupName]s de confession [buddhist.GetName] ou [bon.GetName] et permet de détenir des temples en plus des châteaux. Les dirigeants féodaux monastiques peuvent également construire des bâtiments du monastère Gompa dans les châteaux.;Wie auch bei der gewöhnlichen Feudalregierung steht im Zentrum eines feudalen Mönchordens der Eid zwischen Lehnsherr und Vasall. Die Anzahl der Besitztümer, die ein feudaler Herrscher persönlich regieren kann, ist begrenzt. Anschließend kommen Vasallen ins Spiel, deren Loyalität unterschiedlich groß sein kann ... der feudale Mönchsorden ist für [tibetan_group.GetGroupName]e Nationen einzigartig, die entweder dem [buddhist.GetName]en oder [bon.GetName]en Glauben angehören und erlaubt das gleichzeitige Halten von Tempeln und Burgen. Herrscher von feudalen Mönchsorden können außerdem in Burg-Besitztümern Gönpa errichten.;;El gobierno feudal monástico, como el feudal normal, se articula en torno al pacto entre señor y vasallo. Los señores feudales monásticos solo pueden tener unas cuantas posesiones antes de recurrir a vasallos cuya lealtad puede variar… El gobierno feudal monástico es exclusivo de los [tibetan_group.GetGroupName], ya sean de fe [buddhist.GetName] o [bon.GetName y permite poseer monasterios además de castillos. Los gobernantes feudales monásticos también pueden construir monasterios gompa como edificios en posesiones de castillos.;;;;;;;;;x
manorial_government;Manorial;Seigneurie;Gutsherrschaftsystem;;Señorial;;;;;;;;;x
