EVTTITLE_EMP_10010;A High Quality Armament Produced;Un armement de haute qualité produit;Eine hochwertige Bewaffnung hergestellt;;Un armamento de alta calidad producido;;;;;;;;;x
EVTDESC_EMP_10010;During my mission to suprivise armament production in [Root.Location.GetName] I happened to meet a Master Craftsman. He had a vast talent and was more than happy to show his superb skills to make outstanding armaments.;Lors de ma mission consistant à superviser la production d'armements à [Root.Location.GetName], je rencontrai un maître-artisan. Il avait une grande talent et fut plus que ravi de montrer ses superbes compétences pour fabriquer des armements exceptionnels.;Während der Mission, die Rüstungsproduktion in [Root.Location.GetName] zu beaufsichtigen, traf ich zufällig einen Handwerksmeister. Er hatte große Talent und war mehr als glücklich, seine hervorragenden Fähigkeiten zu zeigen, um herausragende Rüstungen herzustellen.;;Durante mi misión para supervisar la producción de armamento en [Root.Location.GetName] me encontré con un Maestro Artesano. Tenía extensa talento y estaba más que feliz de mostrar sus excelentes habilidades para fabricar armamentos excepcionales.;;;;;;;;;x
EVTOPTA_EMP_10010;I will select the most exquisite one for my liege.;Je choisirai la plus exquise pour mon lige.;Ich werde das exquisiteste für meinen Lehnsherren auswählen.;;Seleccionaré el más exquisito para mi señor.;;;;;;;;;x
EVTDESC_EMP_10011;My liege, the armament production being done in [From.Location.GetName] is coming along well under the skillful hands of a Master Craftsman, who has created a batch of fine armaments. The the most exquisite one among these is going to dedicate to you.;M[Root.GetOnA][Root.GetLordLady], la production d'armement à [From.Location.GetName] vont bon train sous les mains habiles d'un maître-artisan qui a créé un lot de beaux armements. Le plus exquis d'entre eux va vous être dédié.;Mein Lehnsherr, die Rüstungsproduktion in [From.Location.GetName] schreiten unter den geschickten Händen eines Handwerksmeisters, der eine Reihe feiner Rüstungen hergestellt hat. Das exquisiteste unter diesen wird Ihnen gewidmet sein.;;Mi señor, el producción de armamento en [From.Location.GetName] se desarrolla sin problemas ante las hábiles manos de un Maestro Artesano, que ha creado un lote de excelentes armamentos. Te presento el más exquisito de estos.;;;;;;;;;x
EVTTITLE_EMP_10012;Found a Good Warhorse;Trouvé un bon cheval de guerre;Ein gutes Schlachtross gefunden;;Encontré un buen caballo de guerra;;;;;;;;;x
EVTDESC_EMP_10012;With years of experience and intuition, I found a horse with great potential in [Root.Location.GetName];Avec des années d'expérience et d'intuition, j'ai trouvé un cheval à fort potentiel en [Root.Location.GetName];Mit jahrelanger Erfahrung und Intuition habe ich ein Pferd mit großem Potenzial in [Root.Location.GetName];;Con años de experiencia e intuición, encontré un caballo con gran potencial en [Root.Location.GetName].;;;;;;;;;x
EVTDESC_EMP_10013;My [Root.GetMyMarshalName], [From.GetTitledFirstName], has found me an excellent warhorse, I have to think about how to use this horse first.;Notre [Root.GetMyMarshalName], [From.Get_le_TitledFirstName], m'a trouvé un excellent cheval de guerre, je dois d'abord réfléchir à la façon d'utiliser ce cheval.;Mein [Root.GetMyMarshalName] [From.GetTitledFirstName] hat für mich ein ausgezeichnetes Schlachtross gefunden, ich muss mir erst überlegen, wie ich dieses Pferd einsetzen kann.;;Mi [Root.GetMyMarshalName], [From.GetTitledFirstName], ha encontrado un excelente caballo de guerra, primero tengo que pensar en cómo usar este caballo.;;;;;;;;;x
EVTOPTA_EMP_10012;My [Root.Liege.PrimaryTitle.GetRulerTitle] will be pleased!;M[Root.Liege.GetOnA] [Root.Liege.PrimaryTitle.GetRulerTitle] appréciera !;Mein [Root.Liege.PrimaryTitle.GetRulerTitle] wird erfreut sein!;; Mi [Root.Liege.PrimaryTitle.GetRulerTitle]quedará contento!;;;;;;;;;x
EVTOPTA_EMP_10013;Come here, my pretty...;Viens par ici, ma jolie...;Kommt her, meine Schöne...;;Ven aquí, mi bella...;;;;;;;;;x
EVTOPTB_EMP_10013;I have to give my horse a good name.;Je dois donner un bon nom à mon cheval.;Ich muss meinem Pferd einen guten Namen geben.;;Tengo que darle un buen nombre a mi caballo.;;;;;;;;;x
EVTOPTC_EMP_10013;It will be a good breeder!;Ce sera un bon éleveur!;Es wird ein guter Züchter!;;¡Será un buen criador!;;;;;;;;;x
WARHORSE_DEFAULT_NAME;Impressive Warhorse;Cheval de guerre impressionnant;Imposantes Schlachtross;;Impresionante caballo de guerra;;;;;;;;x
WARHORSE_CUSTOM_NAME;Warhorse: [Root.pet_warhorse_placeholder.GetFirstName];Cheval de guerre: [Root.pet_warhorse_placeholder.GetFirstName];Schlachtross: [Root.pet_warhorse_placeholder.GetFirstName];;Caballo de guerra: [Root.pet_warhorse_placeholder.GetFirstName];;;;;;;;;x
horse_name_list;Arrow|Lightning|Snow|Sun|Moon|Venus|Mars|Rock;Flèche|Éclair|Neiges|Soleil|Lune|Vénus|Mars|Rocher;Pfeil|Blitz|Verschneite|Sonne|Mond|Venus|Mars|Felsen;;Flecha|Relámpago|Nieve|Sol|Luna|Venus|Marte|Roca;;;;;x
pet_warhorse;[GetPetWarhorseName];[GetPetWarhorseName];[GetPetWarhorseName];;[GetPetWarhorseName];;;;;;;;;x
EVTDESC_EMP_10014;[pet_warhorse_placeholder.GetFirstName], your favorite warhorse, has taken [Root.GetHerHis] last gallop across the steppe and begun the eternal sleep. It is time to take farewell to your steed that has served you well.;[pet_warhorse_placeholder.GetFirstName], votre destrier préféré, a galopé une dernière fois dans la steppe et s'est endormi pour l'éternité. Il est temps de faire vos adieux à ce vieil ami qui vous a fidèlement servi.;Euer Lieblingsschlachtross [pet_warhorse_placeholder.GetFirstName] hat die Augen zum ewigen Schlafe geschlossen und ist nun zum letzten Mal über die Steppe galoppiert. Es wird Zeit, Abschied zu nehmen von Eurem alten Freund, der Euch lange ein treuer Begleiter war.;;[pet_warhorse_placeholder.GetFirstName], tu caballo favorito, ha dado [Root.GetHerHis] último galope a través de la estepa y comienza el sueño eterno. Es hora de despedirte de un viejo amigo que te ha servido bien.;;;;;;;;;x
EVTOPTA_EMP_10014;Goodbye, my friend.;Au revoir, mon ami.;Leb wohl, mein Freund.;;Adiós, mi amigo;;;;;;;;;x
EVTOPTB_EMP_10014;[pet_warhorse_placeholder.GetFirstName] will become my flesh and gallop with me forever.;[pet_warhorse_placeholder.GetFirstName] deviendra ma chair et galopera avec moi pour toujours.;;;;;;;;;x;[pet_warhorse_placeholder.GetFirstName] wird mein Fleisch werden und für immer mit mir galoppieren.;;;;;;;;;x;;[pet_warhorse_placeholder.GetFirstName] convertirá en mi carne y galopará conmigo para siempre.;;;;;;;;;x
EVTOPTB_EMP_10014_TOOLTIP;You eat up the warhorse;Tu manges le cheval de guerre;Du isst das Schlachtross auf;;Te comes el caballo de guerra;;;;;;;;;x
EVTTITLE_EMP_10015;Military Logistics Accident;Accident de logistique militaire;Unfall bei der Militärlogistik;;Accidente de logística militar;;;;;;;;;x
EVTDESC_EMP_10015;My fieldwork into the horse group in [Root.Location.GetName] must be doomed. The leading stallion kept me alert and gave me a heavy kick when I tried to approach.;Mon travail de terrain dans le groupe des chevaux dans [Root.Location.GetName] doit être voué à l'échec. L'étalon de tête m'a tenu alerte et m'a donné un gros coup de pied quand j'ai essayé de m'approcher.;Meine Feldarbeit in der Pferdegruppe in [Root.Location.GetName] muss zum Scheitern verurteilt sein. Der führende Hengst hielt mich wachsam und gab mir einen kräftigen Tritt, als ich versuchte, mich zu nähern.;;Mi trabajo de campo en el grupo de caballos en [Root.Location.GetName] debe estar condenado al fracaso. El semental que iba en cabeza me mantuvo alerta y me dio una fuerte patada cuando traté de acercarme.;;;;;;;;;;x
EVTOPTA_EMP_10015;ARRRRGH!;ARRRRGH!;ARRRRGH!;;Raaabiaaa!;;;;;;;;;x
EVTOPTA_EMP_10015_TOOLTIP;Send a letter to my liege;J'envoie une lettre à m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige.;Brief an meinen Lehnsherrn senden;;Envía una carta a mi señor.;;;;;;;;;x
