create_nomad_horde;Create Nomadic Horde;;;;;;;;;;;;;x
create_nomad_horde_desc;We can create [Root.GetTitledFirstName]'s Horde. Your Horde is your personal retinue and standing army ready to do as you order at all times. Your Horde is always on the map and reinforce slowly. The maximum number of Horde regiments you can field depends on your §YDemesne Size§! and §YTitle Tier§!.;;;;;;;;;;;;;x
nomad_population;Nomadic Population;Population nomade;Nomadenbevölkerung;;Población nómada;;;;;;;;;x
nomad_population_desc;The major population of this county practice a free-spirited nomadic lifestyle, and is displeased with having to stay in one place.;La majeure partie de la population de ce comté appartenait à des nomades à l'esprit libre, et est mécontente d'avoir à rester au même endroit.;Der größte Teil der Bevölkerung dieser Grafschaft gehörte zu freidenkerischen Nomaden. Und ist unzufrieden, an einem Ort verbleiben zu müssen.;;La mayor parte de la población del condado eran nómadas de espíritu libre. Y no se satisfecho con tener que permanecer en un mismo lugar.;;;;;;;;;x

cb_nomadic_revolt_desc;Powerful nomadic clans can rise up in revolt, expelling city dwellers in order to retrieve pastures.;Les clans nomades puissants peuvent se révolter et expulser les citadins pour récupérer les pâturages.;Mächtige Nomaden Clans können eine Revolte beginnen und Stadtbewohner vertreiben, um Weiden zurückzuerobern.;;Poderosos clanes nómadas pueden alzarse en rebelión, ahuyentar a la gente del pueblo para recuperar pastos.;;;;;;;;;x
CB_NAME_NOMADIC_REVOLT;Nomadic Clan Revolt;Révolte d'un clan nomades;Revolte der Nomaden Stämme;;Rebelión de clan nómadas;;;;;;;;;x
WAR_NAME_NOMADIC_REVOLT;Nomadic Clan Rising;Révolte d'un clan nomades;Nomaden Stamm erhebt sich;;Ascenso de clan nómadas;;;;;;;;;x
NOMADIC_REVOLT;[Root.Culture.GetName] Clan Rising;Soulèvement de clan [Root.Culture.GetName];[Root.Culture.GetName] Klan erhebt sich;;[Root.Culture.GetName] Rebelión del clan;;;;;;;;;x

EVTDESC_EMP_11023;The herdsmen are facing harsh winter, there have even been casualties this year. It is impossible to take care of all the horses in the pasture, there will always be some lost. However, some people blame your dereliction of duty.;Les bergers sont confrontés à un hiver rigoureux, il y a même eu des victimes cette année. Il est impossible de s'occuper de tous les chevaux au pâturage, il y en aura toujours des perdus. Cependant, certaines personnes blâment votre manquement au devoir.;Die Hirten stehen vor einem harten Winter, in diesem Jahr gab es sogar Verletzte. Auf der Weide kann man sich nicht um jedes Pferd kümmern, es geht immer verloren. Einige Leute machen es jedoch auf Ihre Pflichtverletzung zurückzuführen.;;Los pastores se enfrentan al duro invierno, incluso ha habido bajas este año. Es imposible cuidar de todos los caballos en el pasto, siempre se perderán. Sin embargo, algunas personas le echan la culpa a su incumplimiento del deber.;;;;;;;;;x
EVTDESC_EMP_11030;A powerful nomadic Clan has risen up in [Root.GetName], led by their charismatic chieftain. The rebels have the nerve to demand independence!;Un puissant clan nomades vient de se soulever à [Root.GetName], dirigé par leur chef charismatique. Les rebelles ont le culot de réclamer l'indépendance !;Einer der Nomaden Klans hat in [Root.GetName] eine Revolte begonnen. Sie wagen es tatsächlich, ihre Unabhängigkeit zu fordern!;;Un poderoso clan nómadas ha levantado en [Root.GetName], liderado por su jefe carismático. ¡Los rebeldes tienen el descaro de exigir la independencia!;;;;;;;;;x
EVTDESC_EMP_11031;A powerful nomadic Clan has risen up in [From.GetName], led by their charismatic chieftain. The rebels have the nerve to demand independence!;Un puissant clan nomades vient de se soulever à [From.GetName], dirigé par leur chef charismatique. Les rebelles ont le culot de réclamer l'indépendance !;Einer der Nomaden Klans hat in [From.GetName] eine Revolte begonnen. Sie wagen es tatsächlich, ihre Unabhängigkeit zu fordern!;;Un poderoso clan nómadas ha levantado en [From.GetName], liderado por su jefe carismático. ¡Los rebeldes tienen el descaro de exigir la independencia!;;;;;;;;;x
